kab,kec,sumber,perkapita,x0,art,lap_usaha,status_usaha
1,30,ssd,559099.3904,1,4,,
1,30,ssd,566413.622,1,5,,
1,30,ssd,625677.4591,1,2,,
1,30,ssd,762715.7749,1,3,,
1,30,ssd,762586.875,1,3,,
1,30,ssd,490860.7784,1,3,,
1,30,ssd,620963.1108,1,2,,
1,30,ssd,495799.7549,1,4,,
1,30,ssd,459840.4883,1,5,,
1,30,ssd,602583.4128,1,2,,
1,30,ssn,518672.64,1,2,1,2
1,30,ssn,426969.8567,1,3,1,2
1,30,ssn,496800.0067,1,3,1,4
1,30,ssn,285585.234,1,5,1,4
1,30,ssn,251761.115,1,6,1,2
1,30,ssn,341858.335,1,4,1,4
1,30,ssn,620170.64,1,3,1,2
1,30,ssn,663888.1,1,1,9,4
1,30,ssn,551036.53,1,3,1,2
1,30,ssn,355768.2567,1,3,1,4
1,30,ssd,536018.4233,1,5,,
1,30,ssd,502990.6974,1,4,,
1,30,ssd,648562.9873,1,3,,
1,30,ssd,634546.0042,1,4,,
1,30,ssd,529344.0856,1,7,,
1,30,ssd,769635.6498,1,4,,
1,30,ssd,609086.8244,1,5,,
1,30,ssd,606328.1622,1,4,,
1,30,ssd,485144.4192,1,5,,
1,30,ssd,610340.1905,1,3,,
1,30,ssn,480717.86,1,2,1,4
1,30,ssn,336823.805,1,4,1,2
1,30,ssn,449412.8125,1,4,6,1
1,30,ssn,550146.4475,1,4,9,4
1,30,ssn,344019.65,1,4,1,4
1,30,ssn,315613.114,1,5,1,4
1,30,ssn,343214.585,1,4,1,1
1,30,ssn,598890.49,1,1,1,1
1,30,ssn,520658.35,1,2,1,4
1,30,ssn,869909.5767,1,3,3,4
1,30,ssd,503110.12,1,4,,
1,30,ssd,468156.847,1,5,,
1,30,ssd,729929.5477,1,3,,
1,30,ssd,523449.866,1,3,,
1,30,ssd,494668.0829,1,4,,
1,30,ssd,966995.6209,1,4,,
1,30,ssd,499076.5631,1,7,,
1,30,ssd,539303.6825,1,4,,
1,30,ssd,633104.4045,1,3,,
1,30,ssd,513414.5802,1,4,,
1,30,ssd,776318.5728,1,3,,
1,30,ssd,666199.6144,1,3,,
1,30,ssd,565596.5437,1,3,,
1,30,ssd,571271.9584,1,2,,
1,30,ssd,780752.372,1,3,,
1,30,ssd,647323.2698,1,3,,
1,30,ssd,588537.0477,1,3,,
1,30,ssd,720330.2521,1,3,,
1,30,ssd,572170.4714,1,3,,
1,30,ssd,497005.3541,1,4,,
1,30,ssd,698364.0864,1,3,,
1,30,ssd,753669.9948,1,1,,
1,30,ssd,529599.1773,1,4,,
1,30,ssd,506641.6154,1,8,,
1,30,ssd,584357.2586,1,4,,
1,30,ssd,746277.1661,1,1,,
1,30,ssd,547427.2578,1,4,,
1,30,ssd,598082.3197,1,4,,
1,30,ssd,566068.5486,1,4,,
1,30,ssd,539915.0121,1,3,,
1,30,ssd,665524.7831,1,2,,
1,30,ssd,494709.5976,1,5,,
1,30,ssd,546511.6842,1,3,,
1,30,ssd,818958.1089,1,3,,
1,30,ssd,591778.5147,1,2,,
1,30,ssd,562130.4469,1,4,,
1,30,ssd,521002.6497,1,6,,
1,30,ssd,745566.3201,1,2,,
1,30,ssd,622650.1931,1,3,,
